tableName,attributeName,dataType,domain,nullable,isUnique,isPrimary,foreignReference,purpose
customerorder,paidFlag,tinyint(1),TRUE/FALSE; default 0.,NO,N,N,,Indicates accounting confirmation that shipment may proceed.
customerorder,orderStatus,"enum('PENDING','SHIPPED','CANCELLED')","Permitted values: pending, shipped, cancelled.",NO,N,N,,Records the order status of the customerorder.
customerphone,customerId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,customer.customerId,Identifies the related customer record.
customerphone,phoneId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,phone.phoneId,Identifies the related phone record.
customerphone,startDateTime,datetime,Valid MySQL datetime value.,NO,Y,Y,,Inclusive start date/time of the customerphone history period.
customerphone,endDateTime,datetime,"NULL for current, otherwise not earlier than startDateTime.",YES,N,N,,Optional end date/time of the customerphone history period; NULL identifies the current row.
customerphone,isPrimary,tinyint(1),TRUE/FALSE; default 0.,NO,N,N,,TRUE/FALSE indicator for is primary on the customerphone record.
employee,employeeId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,,Stable identifier for a employee record.
employee,firstName,varchar(50),Text up to the implemented varchar(50) size.,NO,N,N,,Human-readable name used for the employee record.
employee,lastName,varchar(50),Text up to the implemented varchar(50) size.,NO,N,N,,Human-readable name used for the employee record.
employee,taxFileNumber,char(9),Exactly 9 numeric digits.,NO,Y,N,,Australian tax file number; sensitive HR identifier.
employee,employmentStartDate,date,Valid MySQL date value.,NO,N,N,,Date associated with the employee record or validity period.
employee,employmentEndDate,date,Valid MySQL date value.,YES,N,N,,Date associated with the employee record or validity period.
employeeaddress,employeeId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,employee.employeeId,Identifies the related employee record.
employeeaddress,addressId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,address.addressId,Identifies the related address record.
employeeaddress,startDateTime,datetime,Valid MySQL datetime value.,NO,Y,Y,,Inclusive start date/time of the employeeaddress history period.
employeeaddress,endDateTime,datetime,"NULL for current, otherwise not earlier than startDateTime.",YES,N,N,,Optional end date/time of the employeeaddress history period; NULL identifies the current row.
employeephone,employeeId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,employee.employeeId,Identifies the related employee record.
employeephone,phoneId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,phone.phoneId,Identifies the related phone record.
employeephone,startDateTime,datetime,Valid MySQL datetime value.,NO,Y,Y,,Inclusive start date/time of the employeephone history period.
employeephone,endDateTime,datetime,"NULL for current, otherwise not earlier than startDateTime.",YES,N,N,,Optional end date/time of the employeephone history period; NULL identifies the current row.
employeephone,isPrimary,tinyint(1),TRUE/FALSE; default 0.,NO,N,N,,TRUE/FALSE indicator for is primary on the employeephone record.
employeequalification,employeeId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,employee.employeeId,Identifies the related employee record.
employeequalification,qualificationId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,qualification.qualificationId,Identifies the related qualification record.
employeequalification,awardedDate,date,Valid MySQL date value.,NO,Y,Y,,Date associated with the employeequalification record or validity period.
employeequalification,expiryDate,date,Valid MySQL date value.,YES,N,N,,Date associated with the employeequalification record or validity period.
employeequalification,certificateReference,varchar(80),Text up to the implemented varchar(80) size.,YES,Y,N,,Records the certificate reference of the employeequalification.
employeerole,employeeId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,employee.employeeId,Identifies the related employee record.
employeerole,roleId,char(6),Text up to the implemented char(6) size.,NO,Y,Y,role.roleId,Identifies the related role record.
employeerole,operationalAreaId,char(6),Text up to the implemented char(6) size.,NO,N,N,operationalarea.operationalAreaId,Identifies the related operationalarea record.
employeerole,startDateTime,datetime,Valid MySQL datetime value.,NO,Y,Y,,Inclusive start date/time of the employeerole history period.
employeerole,endDateTime,datetime,"NULL for current, otherwise not earlier than startDateTime.",YES,N,N,,Optional end date/time of the employeerole history period; NULL identifies the current row.
employeerole,workTimeType,"enum('FULLTIME','PARTTIME')","Permitted values: fulltime, parttime.",NO,N,N,,Indicates whether the appointment is full-time or part-time.
employeerole,employmentType,"enum('PERMANENT','CASUAL')","Permitted values: permanent, casual.",NO,N,N,,Legal engagement category: permanent or casual.
employeerole,employmentPattern,"enum('ONGOING','SEASONAL')","Permitted values: ongoing, seasonal.",NO,N,N,,Indicates ongoing or seasonal work pattern independently of employment type.
grapevariety,grapeVarietyId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,,Stable identifier for a grapevariety record.
grapevariety,varietyName,varchar(80),Text up to the implemented varchar(80) size.,NO,Y,N,,Human-readable name used for the grapevariety record.
grapevariety,juiceConversionPercent,"decimal(5,2)","Numeric percentage greater than 0 and no more than 100, except alcohol is capped at 25 as implemented.",NO,N,N,,Expected percentage of grape weight converted to juice.
grapevariety,storageContainer,"enum('STAINLESSSTEEL','OAKBARREL','OTHER')","Permitted values: stainlesssteel, oakbarrel, other.",NO,N,N,,Records the storage container of the grapevariety.
grapevariety,agingDays,smallint unsigned,Numeric value within the implemented MySQL type.,NO,N,N,,Records the aging days of the grapevariety.
harvest,harvestId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,,Stable identifier for a harvest record.
harvest,vineyardId,char(7),Text up to the implemented char(7) size.,NO,N,N,vineyardplanting.vineyardId,Identifies the related vineyardplanting record.
harvest,vintageYear,year,Valid MySQL year value.,NO,N,N,vineyardplanting.vintageYear,Records the vintage year of the harvest.
harvest,harvestedDate,date,Valid MySQL date value.,NO,N,N,,Date associated with the harvest record or validity period.
harvest,weightKg,"decimal(12,2)",Positive numeric value.,NO,N,N,,Records the weight kg of the harvest.
harvest,ripenessSugarPercent,"decimal(5,2)","Numeric percentage greater than 0 and no more than 100, except alcohol is capped at 25 as implemented.",NO,N,N,,Harvest ripeness expressed as percentage sugar.
incident,incidentId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,,Stable identifier for a incident record.
incident,incidentDateTime,datetime,Valid MySQL datetime value.,NO,N,N,,Records the incident date time of the incident.
incident,operationalAreaId,char(6),Text up to the implemented char(6) size.,NO,N,N,operationalarea.operationalAreaId,Identifies the related operationalarea record.
incident,incidentType,"enum('INJURY','NEARMISS','ILLNESS','EQUIPMENT','ENVIRONMENTAL','OTHER')","Permitted values: injury, nearmiss, illness, equipment, environmental, other.",NO,N,N,,Records the incident type of the incident.
incident,severity,"enum('LOW','MODERATE','HIGH','CRITICAL')","Permitted values: low, moderate, high, critical.",NO,N,N,,Classifies incident seriousness for safety follow-up and reporting.
incident,incidentDescription,varchar(1000),Text up to the implemented varchar(1000) size.,NO,N,N,,Business description of the incident record.
incident,totalLostHours,"decimal(7,2)",Non-negative numeric value.,NO,N,N,,Non-negative total labour hours lost because of an incident; may be zero for a serious near miss.
incident,reportableFlag,tinyint(1),TRUE/FALSE; default 0.,NO,N,N,,TRUE/FALSE indicator for reportable flag on the incident record.
incidentemployee,incidentId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,incident.incidentId,Identifies the related incident record.
incidentemployee,employeeId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,employee.employeeId,Identifies the related employee record.
incidentemployee,involvementRole,"enum('AFFECTED','WITNESS','REPORTER')","Permitted values: affected, witness, reporter.",NO,N,N,,Records the involvement role of the incidentemployee.
incidentemployee,employeeLostHours,"decimal(7,2)",Numeric value within the implemented MySQL type; default 0.00.,NO,N,N,,Records the employee lost hours of the incidentemployee.
individualcustomer,customerId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,customer.customerId,Identifies the related customer record.
individualcustomer,firstName,varchar(50),Text up to the implemented varchar(50) size.,NO,N,N,,Human-readable name used for the individualcustomer record.
individualcustomer,lastName,varchar(50),Text up to the implemented varchar(50) size.,NO,N,N,,Human-readable name used for the individualcustomer record.
individualcustomer,dateOfBirth,date,Valid MySQL date value.,NO,N,N,,Birth date retained to demonstrate an individual customer's legal age.
medal,medalId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,,Stable identifier for a medal record.
medal,wineId,char(7),Text up to the implemented char(7) size.,NO,Y,N,wine.wineId,Identifies the related wine record.
medal,medalType,"enum('BRONZE','SILVER','GOLD','TROPHY')","Permitted values: bronze, silver, gold, trophy.",NO,Y,N,,Records the medal type of the medal.
medal,awardYear,year,Valid MySQL year value.,NO,Y,N,,Records the award year of the medal.
medal,awardingOrganisation,varchar(120),Text up to the implemented varchar(120) size.,NO,Y,N,,Records the awarding organisation of the medal.
openincidentaction,correctiveActionId,char(8),Text up to the implemented char(8) size.,NO,N,N,,Stable identifier for a openincidentaction record.
openincidentaction,incidentId,char(8),Text up to the implemented char(8) size.,NO,N,N,,Stable identifier for a openincidentaction record.
openincidentaction,incidentDateTime,datetime,Valid MySQL datetime value.,NO,N,N,,Records the incident date time of the openincidentaction.
openincidentaction,severity,"enum('LOW','MODERATE','HIGH','CRITICAL')","Permitted values: low, moderate, high, critical.",NO,N,N,,Classifies incident seriousness for safety follow-up and reporting.
openincidentaction,areaName,varchar(60),Text up to the implemented varchar(60) size.,NO,N,N,,Human-readable name used for the openincidentaction record.
openincidentaction,actionDescription,varchar(500),Text up to the implemented varchar(500) size.,NO,N,N,,Business description of the openincidentaction record.
openincidentaction,targetDate,date,Valid MySQL date value.,NO,N,N,,Date associated with the openincidentaction record or validity period.
openincidentaction,actionStatus,"enum('OPEN','INPROGRESS','COMPLETED','CANCELLED')","Permitted values: open, inprogress, completed, cancelled.",NO,N,N,,Records the action status of the openincidentaction.
openincidentaction,responsibleEmployee,varchar(101),Text up to the implemented varchar(101) size.,YES,N,N,,Records the responsible employee of the openincidentaction.
openincidentaction,daysOverdue,int,Numeric value within the implemented MySQL type.,YES,N,N,,Records the days overdue of the openincidentaction.
operationalarea,operationalAreaId,char(6),Text up to the implemented char(6) size.,NO,Y,Y,,Stable identifier for a operationalarea record.
operationalarea,areaName,varchar(60),Text up to the implemented varchar(60) size.,NO,Y,N,,Human-readable name used for the operationalarea record.
operationalarea,areaDescription,varchar(255),Text up to the implemented varchar(255) size.,YES,N,N,,Business description of the operationalarea record.
orderline,customerOrderId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,customerorder.customerOrderId,Identifies the related customerorder record.
orderline,productId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,wineproduct.productId,Identifies the related wineproduct record.
orderline,caseQuantity,int unsigned,Positive numeric value.,NO,N,N,,Quantity recorded for the orderline transaction or inventory fact.
orderline,agreedCasePrice,"decimal(10,2)",Numeric value within the implemented MySQL type.,NO,N,N,,Monetary value recorded for the orderline fact in Australian dollars.
packmember,pickerPackId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,pickerpack.pickerPackId,Identifies the related pickerpack record.
packmember,employeeId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,employee.employeeId,Identifies the related employee record.
packmember,joinedDate,date,Valid MySQL date value.,NO,N,N,,Date associated with the packmember record or validity period.
packmember,leftDate,date,Valid MySQL date value.,YES,N,N,,Date associated with the packmember record or validity period.
phone,phoneId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,,Stable identifier for a phone record.
phone,countryCode,varchar(4),Text up to the implemented varchar(4) size; default +61.,NO,Y,N,,Records the country code of the phone.
phone,phoneNumber,varchar(20),Text up to the implemented varchar(20) size.,NO,Y,N,,Records the phone number of the phone.
phone,phoneType,"enum('MOBILE','WORK','HOME','OTHER')","Permitted values: mobile, work, home, other.",NO,N,N,,Records the phone type of the phone.
pickerpack,pickerPackId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,,Stable identifier for a pickerpack record.
pickerpack,packName,varchar(60),Text up to the implemented varchar(60) size.,NO,Y,N,,Human-readable name used for the pickerpack record.
pickerpack,supervisorId,char(7),Text up to the implemented char(7) size.,NO,N,N,employee.employeeId,Identifies the related employee record.
pickerpack,seasonYear,year,Valid MySQL year value.,NO,N,N,,Records the season year of the pickerpack.
productprice,productId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,wineproduct.productId,Identifies the related wineproduct record.
productprice,effectiveDate,date,Valid MySQL date value.,NO,Y,Y,,Date associated with the productprice record or validity period.
productprice,endDate,date,"NULL for current, otherwise not earlier than the corresponding start/effective date.",YES,N,N,,Date associated with the productprice record or validity period.
productprice,casePrice,"decimal(10,2)",Positive numeric value.,NO,N,N,,Monetary value recorded for the productprice fact in Australian dollars.
purchaseorder,purchaseOrderId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,,Stable identifier for a purchaseorder record.
purchaseorder,supplierId,char(7),Text up to the implemented char(7) size.,NO,N,N,supplier.supplierId,Identifies the related supplier record.
purchaseorder,orderedDate,date,Valid MySQL date value.,NO,N,N,,Date associated with the purchaseorder record or validity period.
purchaseorder,orderStatus,"enum('PLACED','PARTRECEIVED','RECEIVED','CANCELLED')","Permitted values: placed, partreceived, received, cancelled.",NO,N,N,,Records the order status of the purchaseorder.
purchaseorderline,purchaseOrderId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,purchaseorder.purchaseOrderId,Identifies the related purchaseorder record.
purchaseorderline,bottleTypeId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,bottletype.bottleTypeId,Identifies the related bottletype record.
purchaseorderline,orderedQuantity,int unsigned,Positive numeric value.,NO,N,N,,Quantity recorded for the purchaseorderline transaction or inventory fact.
purchaseorderline,quotedUnitPrice,"decimal(8,2)",Non-negative numeric value.,YES,N,N,,Monetary value recorded for the purchaseorderline fact in Australian dollars.
qualification,qualificationId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,,Stable identifier for a qualification record.
qualification,qualificationName,varchar(120),Text up to the implemented varchar(120) size.,NO,Y,N,,Human-readable name used for the qualification record.
qualification,issuingAuthority,varchar(120),Text up to the implemented varchar(120) size.,NO,N,N,,TRUE/FALSE indicator for issuing authority on the qualification record.
qualification,defaultValidityMonths,smallint unsigned,Numeric value within the implemented MySQL type.,YES,N,N,,Records the default validity months of the qualification.
qualification,isSafetyCritical,tinyint(1),TRUE/FALSE; default 0.,NO,N,N,,TRUE/FALSE indicator for is safety critical on the qualification record.
receipt,receiptId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,,Stable identifier for a receipt record.
receipt,purchaseOrderId,char(8),Text up to the implemented char(8) size.,NO,N,N,purchaseorder.purchaseOrderId,Identifies the related purchaseorder record.
receipt,receivedDate,date,Valid MySQL date value.,NO,N,N,,Date associated with the receipt record or validity period.
receiptline,receiptId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,receipt.receiptId,Identifies the related receipt record.
receiptline,bottleTypeId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,bottletype.bottleTypeId,Identifies the related bottletype record.
receiptline,receivedQuantity,int unsigned,Positive numeric value.,NO,N,N,,Quantity recorded for the receiptline transaction or inventory fact.
receiptline,actualUnitPrice,"decimal(8,2)",Non-negative numeric value.,NO,N,N,,Monetary value recorded for the receiptline fact in Australian dollars.
refund,refundId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,,Stable identifier for a refund record.
refund,customerOrderId,char(8),Text up to the implemented char(8) size.,NO,N,N,customerorder.customerOrderId,Identifies the related customerorder record.
refund,refundDate,date,Valid MySQL date value.,NO,N,N,,Date associated with the refund record or validity period.
refund,refundReason,"enum('SHORTSUPPLY','TRANSITDAMAGE')","Permitted values: shortsupply, transitdamage.",NO,N,N,,Records the refund reason of the refund.
refund,verifiedFlag,tinyint(1),TRUE/FALSE.,NO,N,N,,TRUE/FALSE indicator for verified flag on the refund record.
refund,refundAmount,"decimal(10,2)",Non-negative numeric value.,NO,N,N,,Monetary value recorded for the refund fact in Australian dollars.
role,roleId,char(6),Text up to the implemented char(6) size.,NO,Y,Y,,Stable identifier for a role record.
role,roleName,varchar(80),Text up to the implemented varchar(80) size.,NO,Y,N,,Human-readable name used for the role record.
role,roleDescription,varchar(255),Text up to the implemented varchar(255) size.,NO,N,N,,Business description of the role record.
seasonalrating,employeeId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,employee.employeeId,Identifies the related employee record.
seasonalrating,seasonYear,year,Valid MySQL year value.,NO,Y,Y,,Records the season year of the seasonalrating.
seasonalrating,supervisorId,char(7),Text up to the implemented char(7) size.,NO,N,N,employee.employeeId,Identifies the related employee record.
seasonalrating,ratingValue,tinyint,Integer from 1 to 5.,NO,N,N,,Records the rating value of the seasonalrating.
seasonalrating,recommendReemployment,tinyint(1),TRUE/FALSE.,NO,N,N,,Records the recommend reemployment of the seasonalrating.
seasonalrating,ratingComment,varchar(500),Text up to the implemented varchar(500) size.,YES,N,N,,Records the rating comment of the seasonalrating.
shift,shiftId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,,Stable identifier for a shift record.
shift,shiftDate,date,Valid MySQL date value.,NO,N,N,,Date associated with the shift record or validity period.
shift,startTime,time,Valid MySQL time value.,NO,N,N,,Records the start time of the shift.
shift,endTime,time,Valid MySQL time value.,NO,N,N,,Records the end time of the shift.
shift,operationalAreaId,char(6),Text up to the implemented char(6) size.,NO,N,N,operationalarea.operationalAreaId,Identifies the related operationalarea record.
shift,taskCategoryId,char(6),Text up to the implemented char(6) size.,NO,N,N,taskcategory.taskCategoryId,Identifies the related taskcategory record.
shift,supervisorId,char(7),Text up to the implemented char(7) size.,NO,N,N,employee.employeeId,Identifies the related employee record.
shiftassignment,shiftId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,shift.shiftId,Identifies the related shift record.
shiftassignment,employeeId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,employee.employeeId,Identifies the related employee record.
shiftassignment,regularHours,"decimal(4,2)",Non-negative numeric value.,NO,N,N,,Regular labour hours worked on the assigned shift.
shiftassignment,overtimeHours,"decimal(4,2)",Non-negative numeric value.,NO,N,N,,Overtime hours used in workload and safety analysis.
shipment,shipmentId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,,Stable identifier for a shipment record.
shipment,customerOrderId,char(8),Text up to the implemented char(8) size.,NO,Y,N,customerorder.customerOrderId,Identifies the related customerorder record.
shipment,addressId,char(8),Text up to the implemented char(8) size.,NO,N,N,address.addressId,Identifies the related address record.
shipment,shippedDate,date,Valid MySQL date value.,NO,N,N,,Date associated with the shipment record or validity period.
supervision,employeeId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,employee.employeeId,Identifies the related employee record.
supervision,supervisorId,char(7),Text up to the implemented char(7) size.,NO,N,N,employee.employeeId,Identifies the related employee record.
supervision,startDateTime,datetime,Valid MySQL datetime value.,NO,Y,Y,,Inclusive start date/time of the supervision history period.
supervision,endDateTime,datetime,"NULL for current, otherwise not earlier than startDateTime.",YES,N,N,,Optional end date/time of the supervision history period; NULL identifies the current row.
supplier,supplierId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,,Stable identifier for a supplier record.
supplier,supplierName,varchar(120),Text up to the implemented varchar(120) size.,NO,Y,N,,Human-readable name used for the supplier record.
supplier,contactFirstName,varchar(50),Text up to the implemented varchar(50) size.,NO,N,N,,Human-readable name used for the supplier record.
supplier,contactLastName,varchar(50),Text up to the implemented varchar(50) size.,NO,N,N,,Human-readable name used for the supplier record.
supplier,contactEmail,varchar(254),Text up to the implemented varchar(254) size.,NO,N,N,,Records the contact email of the supplier.
supplieraddress,supplierId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,supplier.supplierId,Identifies the related supplier record.
supplieraddress,addressId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,address.addressId,Identifies the related address record.
supplieraddress,startDateTime,datetime,Valid MySQL datetime value.,NO,Y,Y,,Inclusive start date/time of the supplieraddress history period.
supplieraddress,endDateTime,datetime,"NULL for current, otherwise not earlier than startDateTime.",YES,N,N,,Optional end date/time of the supplieraddress history period; NULL identifies the current row.
supplierbottle,supplierId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,supplier.supplierId,Identifies the related supplier record.
supplierbottle,bottleTypeId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,bottletype.bottleTypeId,Identifies the related bottletype record.
supplierbottle,supplierBottleCode,varchar(40),Text up to the implemented varchar(40) size.,YES,N,N,,Records the supplier bottle code of the supplierbottle.
supplierbottle,isAvailable,tinyint(1),TRUE/FALSE; default 1.,NO,N,N,,TRUE/FALSE indicator for is available on the supplierbottle record.
supplierphone,supplierId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,supplier.supplierId,Identifies the related supplier record.
supplierphone,phoneId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,phone.phoneId,Identifies the related phone record.
supplierphone,startDateTime,datetime,Valid MySQL datetime value.,NO,Y,Y,,Inclusive start date/time of the supplierphone history period.
supplierphone,endDateTime,datetime,"NULL for current, otherwise not earlier than startDateTime.",YES,N,N,,Optional end date/time of the supplierphone history period; NULL identifies the current row.
supplierphone,isPrimary,tinyint(1),TRUE/FALSE; default 0.,NO,N,N,,TRUE/FALSE indicator for is primary on the supplierphone record.
taskcategory,taskCategoryId,char(6),Text up to the implemented char(6) size.,NO,Y,Y,,Stable identifier for a taskcategory record.
taskcategory,categoryName,varchar(60),Text up to the implemented varchar(60) size.,NO,Y,N,,Human-readable name used for the taskcategory record.
trainingattendance,trainingSessionId,char(8),Text up to the implemented char(8) size.,NO,Y,Y,trainingsession.trainingSessionId,Identifies the related trainingsession record.
trainingattendance,employeeId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,employee.employeeId,Identifies the related employee record.
trainingattendance,attendanceStatus,"enum('REGISTERED','COMPLETED','FAILED','ABSENT')","Permitted values: registered, completed, failed, absent.",NO,N,N,,Records the attendance status of the trainingattendance.
trainingattendance,completionDate,date,Valid MySQL date value.,YES,N,N,,Date associated with the trainingattendance record or validity period.
trainingattendance,renewalDate,date,Valid MySQL date value.,YES,N,N,,Date associated with the trainingattendance record or validity period.
trainingattendance,competencyLevel,"enum('AWARENESS','COMPETENT','ADVANCED')","Permitted values: awareness, competent, advanced.",YES,N,N,,Records the competency level of the trainingattendance.
trainingcourse,trainingCourseId,char(7),Text up to the implemented char(7) size.,NO,Y,Y,,Stable identifier for a trainingcourse record.
